ProductID,Name,ModelNumber,Description,Brand,Price,StoreID
165,Q&Q VQ13-008 Analog Watch  - For Girls  Boys,9241,Specifications of Libas Printed Womens Anarkali Kurta Kurta Details Sleeve 3/4 Sleeve Number of Contents in Sales Package Pack of 1 Fabric Rayon Type Anarkali Neck Boat General Details Pattern Printed Occasion Party Casual Ideal For Womens In the Box Kurta Additional Details Style Code 2422-Beige Fabric Care Dry Clean Only,Bath & Body Works,132,109
166,Belle Gambe Boots,9657,Key Features of MASARA Solid Womens Straight Kurta Green StraightMASARA Solid Womens Straight Kurta Price: Rs. 499 Floral patterns don’t have to be dainty. Go bold with brighter colors and a more defined floral print. Darker shades of this kurta allow your outfit to make a more intense impression and with the variety of flower hues it’s easy to select accessories that coordinate. Its knee-length would allow you to pair it up along jeans as well as leggings. Select a chunky necklace pronounced ring or bold-colored emboidered jacket that picks up on tones found in the floral print.Specifications of MASARA Solid Womens Straight Kurta General Details Pattern Solid Ideal For Womens Occasion Casual Kurta Details Sleeve 3/4 Sleeve Fabric Cotton Type Straight Neck Round Additional Details Style Code M004PCOTGREFLO,Macy’s,59,102
167,Escort E-1700-906_Blk Analog Watch  - For Men  Boys,8246,HRS ULTIMATE BOY Chest Pads (WHITE RIGHT-HANDED) Price: Rs. 395 Light wt. Moulded HD foamSpecifications of HRS ULTIMATE BOY Chest Pads (WHITE RIGHT-HANDED) General Type Chest Pads Face Material Polyvinyl Chloride Inner Material Cotton Fabric Suitable for RIGHT-HANDED Dimensions Weight 180 g In the Box Sales Package 1 Pad,Walgreens,102,101
168,Roxy Boots,5993,Specifications of Vermello Men Casual Brown Genuine Leather Belt (Brown) General Reversible Belt No Material Genuine Leather Style Code G7001BRN Occasion Casual Ideal For Men Color Code Brown Belt Size 34 Body Features 5 Punched Holes Pin Buckle Dimensions Weight 250 g Length 34 inch Width 3.8 cm In the Box 1 Belt,Menards,87,102
169,Lee Mens Jeans,9065,HRS CLUB BOY Thigh Pads (WHITE RIGHT-HANDED) Price: Rs. 250 Foam filled economical pad with elastic strapsSpecifications of HRS CLUB BOY Thigh Pads (WHITE RIGHT-HANDED) General Type Thigh Pads Face Material Polyvinyl Chloride Inner Material Cotton Fabric Suitable for RIGHT-HANDED Dimensions Weight 170 g In the Box Sales Package 1 Pad,AT&T,95,102
170,Bruno Manetti 676 Boots,7265,Key Features of Ligans NY Men Formal Black Genuine Leather Belt Genuine Leather Shiney BuckleLigans NY Men Formal Black Genuine Leather Belt (Black) Price: Rs. 695 Get recognised for your exceptional dressing sense by wearing this black coloured belt with a white shirt and grey trousers. This fabulous belt from Ligans NY is made from genuine leather which makes it light in weight and a fine quality shiny buckle for every man to invest in.Specifications of Ligans NY Men Formal Black Genuine Leather Belt (Black) General Reversible Belt No Belt Pattern Punched Belt with Shiney buckle Material Genuine Leather Style Code LNY-M-MO-1017-FS Ideal For Men Occasion Formal Color Code Black Belt Size 28 Body Features 6 Puched Holes 1 Loop Genuine Leather Shiney Buckle Dimensions Weight 200 g Length 34 inch Width 34 mm In the Box Belt,Barnes & Noble,87,104
171,Estilo 1056 Analog Watch  - For Boys  Men,5548,Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral CurtainElegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester,Best Buy,88,105
172,Jack klein BlackLed Digital Watch  - For Boys,9371,Key Features of Liza Women Wedges Occasion: Casual Formal Party Material: Synthetic Leather Color: Blue Heel Height: 3Liza Women Wedges Price: Rs. 1393 LIZA offers an exclusive range of Sandal. Made from fine quality material this pair of Sandal is durable and comfortable to wear. This pair will definitely keep your feet dry cool and comfortable. Buy this pair of Liza Sandal and team it up with deSpecifications of Liza Women Wedges General Occasion Casual Formal Party Ideal For Women Sandal Details Weight 250 g (per single Sandal) - Weight of the product may vary depending on size. Type Wedges Heel Height 3 inch Outer Material Synthetic Leather Color Blue In the Box 1 Pair Of Sandal Additional Details Care Instructions Clean with a mild damp cloth with regular water.,Michaels Stores,90,102
173,North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys  Girls  Women,9469,HRS ULTIMATE BOY Elbow Pads (WHITE RIGHT-HANDED) Price: Rs. 230 Light wt. Moulded HD foamSpecifications of HRS ULTIMATE BOY Elbow Pads (WHITE RIGHT-HANDED) General Type Elbow Pads Inner Material Cotton Fabric Face Material Polyvinyl Chloride Suitable for RIGHT-HANDED Dimensions Weight 50 g In the Box Sales Package 1 Pad,Sally Beauty Holdings,136,102
174,Shuz Touch Boots,6002,Specifications of Sathiyas Cotton Bath Towel (3 Bath Towel Red Yellow Blue) Bath Towel Features Machine Washable Yes Material Cotton Design Self Design General Brand Sathiyas Type Bath Towel GSM 500 Model Name Sathiyas cotton bath towel Ideal For Men Women Boys Girls Model ID asvtwl322 Color Red Yellow Blue Size Mediam Dimensions Length 30 inch Width 60 inch In the Box Number of Contents in Sales Package 3 Sales Package 3 Bath Towel,Toys “R” Us,79,108
175,Foot Candy Boots,9699,Specifications of HRS ULTIMATE MEN Chest Pads (WHITE RIGHT-HANDED) General Type Chest Pads Inner Material Cotton Fabric Face Material Polyvinyl Chloride Suitable for RIGHT-HANDED Dimensions Weight 200 g In the Box Sales Package 1 Pad,Nike,127,109
176,Credos Boots,1057,Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints absorbency softness and durability. NOTE: Our product is 100% cotton so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water Do not Iron Do not Bleach Flat dry Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys Girls Men Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET,6 PM,112,100
177,Rich Club Apple Shaped LED Digital Watch  - For Boys  Girls,7977,Key Features of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Royal Bedsheet Perfact for Wedding & GiftingSpecifications of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet (1 Bedsheet2 Pillow Cover Multicolor) General Brand SANTOSH ROYAL FASHION Machine Washable Yes Type Flat Material Cotton Model Name Gold Design Royal Cotton Printed Wedding & Gifted Double Bedsheet With 2 Pillow cover Model ID goldbedi-38 Color Multicolor Size King Fabric Care Machine Wash Do Not Bleach Dimensions Flat Sheet Width 90 inch / 230 cm Fitted Sheet Width 228 cm Pillow Cover Width 16 inch / 43 cm Pillow Cover Length 28 inch / 72 cm Fitted Sheet Depth 280 cm Fitted Sheet Length 278 cm Flat Sheet Depth 282 cm Flat Sheet Length 110 inch / 280 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Bedsheet2 Pillow Cover,Sears,83,101
178,Skmei AD1031-Black Formal Analog-Digital Watch  - For Men  Boys,2109,Specifications of CASEDEAL Microsoft Nokia lumia x2 Back Panel (White) General Brand CASEDEAL Brand Color White Model Number PANEL-A2 Material Plastic Panel Type Back Compatible Model Microsoft Nokia lumia x2 Dimensions Weight 20 g Height 14 cm In the Box 1 Mobile Panel,Carrefour,113,102
179,Kielz Ladies Boots,5765,Key Features of Mario Gotze Womens Printed Casual Orange Shirt Fit: Slim Suitable For: Western Wear Sleeve: Full Sleeve Fabric: Cotton Color:Orange Pattern:Printed Number Of Contents In Package:1Mario Gotze Womens Printed Casual Orange Shirt Price: Rs. 899 1 shirtSpecifications of Mario Gotze Womens Printed Casual Orange Shirt General Details Pattern Printed Ideal For Womens Occasion Casual Shirt Details Sleeve Full Sleeve Number of Contents in Sales Package Pack of 1 Brand Fit Slim Fabric Cotton Fit Slim Placket Classic Collar Additional Details Style Code RRCLS-W-6107,Office Max,12,102
180,Kms Ironman_Look_Led_Black11 Digital Watch  - For Men  Women  Girls  Boys,3557,Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cottonJaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover White) Price: Rs. 998 This nice bed sheet made up of 100% cotton to give you comfort. This bed sheet is hand printed. This bedsheet gives nice look to your room And its fast colour and good quality gives this bedsheet long life.Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover White) General Machine Washable Yes Brand Jaipur Print Type Flat Model Name jaipur117 Material Cotton Thread Count 140 Model ID jaipur117 Fabric Care machinewash do not bleach Size King Color White Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0.2 cm Flat Sheet Length 104 inch / 265 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover,Nordstrom,7,104
181,Anand Archies Boots,5427,Specifications of Shilpi NHSCN003 Coin Bank (Brown) In The Box Sales Package Coin Bank,Auchan,59,105
182,Magnum Footwear Lifestyle Boots,1165,Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cottonJaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover White) Price: Rs. 998 This is nice bed sheet made in ahmedabad and made up of 100% cotton.This bed sheet have fast colours which gives it long life and new look to your room.Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover White) General Brand Jaipur Print Machine Washable Yes Type Flat Material Cotton Model Name ahmd11 Thread Count 4 Model ID ahmd11 Character flower Color White Size King Fabric Care Machine Wash Do Not Bleach Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0 cm Flat Sheet Length 104 inch / 265 cm Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover,Newegg.com,58,106
183,Steppings Trendy Boots,7736,Specifications of Babeezworld Dungaree Baby Boys  Combo Apparel Combo Details Primary Product Size S Fabric Cotton Pattern Printed Fit Regular Fit Occasion Casual Ideal For Baby Boys Additional Details Style Code bbz1105a Fabric Care Wash with Similar Colors Use Detergent for Colors In the Box Number of Contents in Sales Package 2,JD.com,116,107
184,Swag 670038 Analog Watch  - For Boys,3491,Key Features of Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm Brass Height - 10.8 cm Width - 10.16 cm Weight - 850 gSpecifications of Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm (Brass Gold) General Brand Redbag Model Number 6437 Type Religious Idols Model Name Eight Armed Goddess Sherawali Maa Material Brass Color Gold Dimensions Weight 850 g Height 10.8 cm Width 10.16 cm Depth 5.08 cm In the Box Sales Package 1 Showpiece Figurine,Verizon Wireless,129,108
185,Bonzer Boots,3779,Specifications of Proence Weight Gainers Mass Gainers (60 No Unflavored) General Dietary Preference No MSG Brand Proence Flavor Unflavored Usage Timings Pre-workout Post-workout Quantity 60 No Number of Scoops per Container NA Container Type Mason Jar Ayurvedic No Protein Type Weight Gainers Mass Gainers Model Number 10036 Form Capsules Serving Size 60 No Food Preference Veg Composition Atmagupta sd:-85 mg shilajatu:-60 mg  Goksura;-50 mg Ashwagandha:-50 mg  vidari:-50 mg  Musli:-40 mg  jatiphala:-25 mg  lavanga:-20 mg  Visamusthi:-20 mg  Akarakarabha:-20 mg  Kunkuma:-15 mg Tvak:-15 mg Shelf Life 18 Year Important Note Product information provided by the seller on the Website is not exhaustive please read the label on the physical product carefully for complete information provided by the manufacturer. For additional information please contact the manufacturer.,Staples,90,102
186,Roadster Skinny Fit Fit Mens Jeans,5437,Discountgod Mens Checkered Casual Shirt - Buy Blood Red Discountgod Mens Checkered Casual Shirt For Only Rs. 750 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,Cars.com,93,102
187,Selfie Black Denim Boots,7923,Silver Streak Mens Printed Casual Denim Shirt - Buy Blue Silver Streak Mens Printed Casual Denim Shirt For Only Rs. 1299 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,Kohl’s,66,101
188,Steppings Boots Boots,3689,Cobra Paris CO6394A1 Analog Watch  - For Men Boys - Buy Cobra Paris CO6394A1 Analog Watch  - For Men Boys  CO6394A1 Online at Rs.15195 in India Only at Flipkart.com. - Great Discounts Only Genuine Products 30 Day Replacement Guarantee Free Shipping. Cash On Delivery!,Hobby Lobby,36,102
189,Q&Q LLA2-213 Digital Watch  - For Boys  Girls,2524,Key Features of Alisha Solid Womens Cycling Shorts Cotton Lycra Navy Red NavySpecifications of Alisha Solid Womens Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Womens Fabric Care Gentle Machine Wash in Lukewarm Water Do Not Bleach Additional Details Style Code ALTHT_3P_21 In the Box 3 shorts,Ahold Delhaize,145,103
190,Belle Gambe Winter Boots,5518,Aries Gold G 729 S-BK Analog Watch  - For Men Boys - Buy Aries Gold G 729 S-BK Analog Watch  - For Men Boys  G 729 S-BK Online at Rs.13099 in India Only at Flipkart.com. - Great Discounts Only Genuine Products 30 Day Replacement Guarantee Free Shipping. Cash On Delivery!,Walmart,22,104
191,Hala Red In Black trendy digital Digital Watch  - For Boys  Girls  Men,9652,Carlton Boots - Buy Carlton Boots - CLL-3106 only for Rs. 1223 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Ikea,118,102
192,Kielz Ladies Boots,5408,Maserati Time R8851116001 Analog Watch  - For Boys - Buy Maserati Time R8851116001 Analog Watch  - For Boys  R8851116001 Online at Rs.24400 in India Only at Flipkart.com. - Great Discounts Only Genuine Products 30 Day Replacement Guarantee Free Shipping. Cash On Delivery!,Ulta Salon. Cosmetics & Fragrance,2,106
193,Kielz Boots,7032,Key Features of Alisha Solid Womens Cycling Shorts Cotton Lycra Navy Red NavySpecifications of Alisha Solid Womens Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Womens Fabric Care Gentle Machine Wash in Lukewarm Water Do Not Bleach Additional Details Style Code ALTHT_3P_21 In the Box 3 shorts,Overstock.com,30,102
194,Franck Bella FB74C Analog Watch  - For Boys  Men,1814,Camerii WM64 Elegance Analog Watch  - For Men Boys - Buy Camerii WM64 Elegance Analog Watch  - For Men Boys  WM64 Online at Rs.449 in India Only at Flipkart.com. - Great Discounts Only Genuine Products 30 Day Replacement Guarantee Free Shipping. Cash On Delivery!,Gap,107,102
195,Carlton London Boots,5419,Reckler Slim Fit Mens Jeans - Buy Light Blue Shiny Black Reckler Slim Fit Mens Jeans For Only Rs. 5398 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,CVS,89,109
196,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,4802,Quechua Arpenaz Novadry Boots - Buy Quechua Arpenaz Novadry Boots - NU-962 only for Rs. 2459 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Target,36,102
197,Shuz Touch Boots,3823,Colat COLAT_MW20 Sheen Analog Watch  - For Men Women Boys Girls - Buy Colat COLAT_MW20 Sheen Analog Watch  - For Men Women Boys Girls  COLAT_MW20 Online at Rs.849 in India Only at Flipkart.com. - Great Discounts Only Genuine Products 30 Day Replacement Guarantee Free Shipping. Cash On Delivery!,Shop.com,100,101
198,La Briza Andria Boots,6400,Steppings Trendy Boots - Buy Steppings Trendy Boots - XF-04 only for Rs. 719 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Seven & I,54,102
199,Skmei 1070BLK Sports Analog-Digital Watch  - For Men  Boys,5001,Skmei 1070BLK Sports Analog-Digital Watch  - For Men Boys - Buy Skmei 1070BLK Sports Analog-Digital Watch  - For Men Boys  1070BLK Online at Rs.1179 in India Only at Flipkart.com. Clear Dial Back Light Alarm Dual Time Stop Watch - Great Discounts Only Genuine Products 30 Day Replacement Guarantee Free Shipping. Cash On Delivery!,The Home Depot,110,103
200,Kielz Ladies Boots,7596,Kielz Ladies Boots - Buy Kielz Ladies Boots - 168-9 only for Rs. 999 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Sephora,66,104
201,Carlton London Boots,5070,Key Features of Alisha Solid Womens Cycling Shorts Cotton Lycra Navy Red NavySpecifications of Alisha Solid Womens Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Womens Fabric Care Gentle Machine Wash in Lukewarm Water Do Not Bleach Additional Details Style Code ALTHT_3P_21 In the Box 3 shorts,Apple,147,105
202,Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men  Boys,3713,FabHomeDecor Fabric Double Sofa Bed (Finish Color - Leatherette Black Mechanism Type - Pull Out) Price: Rs. 22646  Fine deep seating experience  Save Space with the all new click clack Sofa Bed  Easy to fold and vice versa with simple click clack mechanism  Chrome legs with mango wood frame for long term durability  Double cushioned Sofa Bed to provide you with extra softness to make a fine seating experience  A double bed that can easily sleep twoSpecifications of FabHomeDecor Fabric Double Sofa Bed (Finish Color - Leatherette Black Mechanism Type - Pull Out) Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. In The Box 1 Sofa Bed General Brand FabHomeDecor Mattress Included No Delivery Condition Knock Down Storage Included No Mechanism Type Pull Out Type Sofa Bed Style Contemporary & Modern Filling Material Microfiber Seating Capacity 3 Seater Upholstery Type NA Upholstery Included No Bed Size Double Shape Square Suitable For Living Room Model Number FHD112 Care Instructions Avoid outdoor use and exposure to water or prolonged moisture Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade Keep sharp objects away from your sofa A little tear on the fabric cover may be hard to repair Vacuum your sofas periodically with a soft bristled bru...View More Avoid outdoor use and exposure to water or prolonged moisture Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade Keep sharp objects away from your sofa A little tear on the fabric cover may be hard to repair Vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres Try to avoid food and drink spillage of any kind If spills occur do not leave unattended In case of a stain a water-free fabric cleaner can be used However avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour Pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth A professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay Getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you cant reach it will also make it more durable Finish Type Matte Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. Warranty Covered in Warranty Warranty covers all kind of manufacturing defects. Concerned product will either be repaired or replaced based on discretion. Service Type Manufacturer Warranty Warranty Summary 6 Months Domestic Warranty Not Covered in Warranty Warranty does not cover for Improper Handling Dimensions Weight 40 kg Height 838 mm Width 1905 mm Depth 939 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting pixel quality and color settings - Please check the products dimensions to ensure the product will fit in the desired location. Also check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting pixel quality and color settings - Please check the products dimensions to ensure the product will fit in the desired location. Also check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart or the Seller delivering the product will not take up any type of civil work such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine wiping the surface with a cloth will help clear the surface of dust particles Material & Color Upholstery Color Leatherette Black Primary Color Black Primary Material Fabric Secondary Material Subtype Mango Wood Secondary Material Foam Finish Color Leatherette Black Primary Material Subtype Foam,H&M,68,106
203,Urban Country Ladies Boots,3427,Key Features of AW Bellies Sandals Wedges Heel CasualsAW Bellies Price: Rs. 499 Material: Synthetic Lifestyle: Casual Heel Type: Wedge Warranty Type: Manufacturer Product Warranty against manufacturing defects: 30 days Care instructions: Allow your pair of shoes to air and de-odorize at regular basis; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth; do not use polish or shinerSpecifications of AW Bellies General Ideal For Women Occasion Casual Shoe Details Color Red Outer Material Patent Leather Heel Height 1 inch Number of Contents in Sales Package Pack of 1 In the Box One Pair Of Shoes,Flipkart,140,107
204,Now SP-ETHNIC Analog Watch  - For Boys,9627,Key Features of Alisha Solid Womens Cycling Shorts Cotton Lycra Black RedSpecifications of Alisha Solid Womens Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 2 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Womens Fabric Care Gentle Machine Wash in Lukewarm Water Do Not Bleach Additional Details Style Code ALTGHT_11 In the Box 2 shorts,Pier 1 Imports,108,108
205,Disney MSFR190-01B Analog Watch  - For Boys  Girls,3262,Specifications of Sicons All Purpose Arnica Dog Shampoo (500 ml) General Pet Type Dog Brand Sicons Quantity 500 ml Model Number SH.DF-14 Type All Purpose Fragrance Arnica Form Factor Liquid In the Box Sales Package Shampoo Sicons Dog Fashion Arnica,Lowe’s,15,109
206,Get Glamr Designer Yuvu Boots,6075,Key Features of Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish Crystal  paper weight Product Dimensions :   8cm x  8cm x 5cm A beautiful product Material: CrystalEternal Gandhi Super Series Crystal Paper Weights  with Silver Finish (Set Of 1 Clear) Price: Rs. 430 Your office desk will sparkle and shine when you accent tables with this elegant crystal paper weight. The multifaceted crystal features Gandhiji’s bust and his timeless message – “My life is my message – M.K. Gandhi”. A beautiful product to gift to your near and dear ones in family and Business.Specifications of Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish (Set Of 1 Clear) General Model Name Gandhi Paper Weight Mark V Dimensions Weight 323 g In the Box Paper Weight Paper Weight Features Paper Weight Material Crystal Paper Weight Finish Silver Finish,HomeGoods (TJX),118,100
207,Kielz Boots,2897,Key Features of Alisha Solid Womens Cycling Shorts Cotton Lycra Navy Red White RedSpecifications of Alisha Solid Womens Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 4 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Womens In the Box 4 shorts Additional Details Style Code ALTGHT4P_26 Fabric Care Gentle Machine Wash in Lukewarm Water Do Not Bleach,Aldi,135,102
208,Belle Gambe Boots,6005,FabHomeDecor Fabric Double Sofa Bed (Finish Color - Brown Mechanism Type - Pull Out) Price: Rs. 22646  Fine deep seating experience  Save Space with the all new click clack Sofa Bed  Easy to fold and vice versa with simple click clack mechanism  Chrome legs with mango wood frame for long term durability  Double cushioned Sofa Bed to provide you with extra softness to make a fine seating experience  A double bed that can easily sleep twoSpecifications of FabHomeDecor Fabric Double Sofa Bed (Finish Color - Brown Mechanism Type - Pull Out) Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. In The Box 1 Sofa Bed General Brand FabHomeDecor Mattress Included No Delivery Condition Knock Down Storage Included No Mechanism Type Pull Out Type Sofa Bed Style Contemporary & Modern Filling Material Microfiber Seating Capacity 3 Seater Upholstery Type NA Upholstery Included No Bed Size Double Shape Square Suitable For Living Room Model Number FHD107 Care Instructions Avoid outdoor use and exposure to water or prolonged moisture Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade Keep sharp objects away from your sofa A little tear on the fabric cover may be hard to repair Vacuum your sofas periodically with a soft bristled bru...View More Avoid outdoor use and exposure to water or prolonged moisture Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade Keep sharp objects away from your sofa A little tear on the fabric cover may be hard to repair Vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres Try to avoid food and drink spillage of any kind If spills occur do not leave unattended In case of a stain a water-free fabric cleaner can be used However avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour Pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth A professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay Getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you cant reach it will also make it more durable Finish Type Matte Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. Warranty Covered in Warranty Warranty covers all kind of manufacturing defects. Concerned product will either be repaired or replaced based on discretion. Service Type Manufacturer Warranty Warranty Summary 6 Months Domestic Warranty Not Covered in Warranty Warranty does not cover for Improper Handling Dimensions Weight 40 kg Height 838 mm Width 1905 mm Depth 939 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting pixel quality and color settings - Please check the products dimensions to ensure the product will fit in the desired location. Also check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting pixel quality and color settings - Please check the products dimensions to ensure the product will fit in the desired location. Also check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart or the Seller delivering the product will not take up any type of civil work such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine wiping the surface with a cloth will help clear the surface of dust particles Material & Color Upholstery Color Brown Primary Color Brown Primary Material Fabric Secondary Material Subtype Mango Wood Secondary Material Foam Finish Color Brown Primary Material Subtype Foam,Williams-Sonoma,28,102
209,Remson India Boots,2637,Key Features of dilli bazaaar Bellies Corporate Casuals Casuals Material: Fabric Occasion: Ethnic Casual Party Formal Color: Pink Heel Height: 0Specifications of dilli bazaaar Bellies Corporate Casuals Casuals General Occasion Ethnic Casual Party Formal Ideal For Women Shoe Details Weight 200 g (per single Shoe) - Weight of the product may vary depending on size. Heel Height 0 inch Outer Material Fabric Color Pink,eBay,145,102
